Time(s),Speed(km/h)
977,24.9396
978,23.6906
979,21.2463
980,18.5533
981,14.9644
982,9.15
983,1.9247
984,0.0331
985,0.0
986,0.0016
987,0.0014
988,0.0014
989,0.0
990,0.0
991,0.0
992,0.0
